Airport Name,Frequency,Latitude,Longitude
San Pedro Airport,129,4.7467198372,-6.6608200073
San Pedro Airport,129,17.9139,-87.9711
San Pedro Airport,129,13.9499998093,-84.5999984741
Santa Maria Airport,114,36.9714012146,-25.1706008911
Santa Maria Airport,114,-10.984000206,-37.0703010559
Santa Maria Airport,114,-29.711399,-53.688202
Capital City Airport,84,42.7787017822,-84.5874023438
Capital City Airport,84,40.2170982361,-76.8515014648
Capital City Airport,84,38.18249893,-84.90470123
Newcastle Airport,72,55.0374984741,-1.6916699409
Newcastle Airport,72,-27.7705993652,29.9769001007
Newcastle Airport,72,-32.7949981689,151.8339996338
Santa Ana Airport,70,4.75818,-75.9557
Santa Ana Airport,70,-10.847994,162.454108
San Fernando Airport,62,-34.4532,-58.5896
San Fernando Airport,62,16.5956001282,120.3030014038
Mae Hong Son Airport,58,19.3013000488,97.9757995605
Mae Hong Son Airport,58,19.3719997406,98.43699646
Santa Rosa Airport,56,-36.588299,-64.275703
Santa Rosa Airport,56,-27.9067,-54.520401
Nogales International Airport,54,31.2261009216,-110.9759979248
Nogales International Airport,54,31.4177,-110.848
Bathurst Airport,54,47.629699707,-65.738899231
Bathurst Airport,54,-33.4094009399,149.651992798
La Florida Airport,54,-29.916201,-71.199501
La Florida Airport,54,1.81442,-78.7492
Lawrence Municipal Airport,52,42.7172012329,-71.1233978271
Lawrence Municipal Airport,52,39.01119995,-95.21659851
Melbourne International Airport,50,-37.673302,144.843002
Melbourne International Airport,50,28.1028003693,-80.6453018188
Santa Terezinha Airport,50,-10.4647216797,-50.518611908
Santa Terezinha Airport,50,-27.1714000702,-51.5532989502
Las Brujas Airport,48,9.33274,-75.2856
Las Brujas Airport,48,22.6212997437,-79.1472015381
Faro Airport,46,62.2075004578,-133.3760070801
Faro Airport,46,37.0144004822,-7.9659099579
Simón Bolívar International Airport,42,11.1196,-74.2306
Simón Bolívar International Airport,42,10.601194,-66.991222
Pemba Airport,40,-12.9917621613,40.5240135193
Pemba Airport,40,-5.2572598457,39.8114013672
Naha Airport,38,26.1958007812,127.646003723
Naha Airport,38,3.6832098961,125.5279998779
Redcliffe Airport,34,-15.4720001221,167.835006714
Redcliffe Airport,34,-27.2066993713,153.0679931641
El Dorado Airport,32,-26.3974990845,-54.5746994019
El Dorado Airport,32,6.7333331108,-61.5833320618
Deer Lake Airport,32,49.2108001709,-57.3913993835
Deer Lake Airport,32,52.6557998657,-94.0614013672
Columbus Municipal Airport,28,39.2619018555,-85.8963012695
Columbus Municipal Airport,28,41.44800186,-97.34259796
Cochrane Airport,28,49.1055984497,-81.0136032104
Yangzhou Taizhou Airport,27,32.5634,119.7198
Herrera Airport,27,18.4696998596,-69.9693984985
Lake County Airport,27,42.1610984802,-120.399002075
Mount Pleasant Airport,27,-51.8227996826,-58.4472007751
St George Airport,26,56.5783004761,-169.662002563
St George Airport,26,-28.0496997833,148.5950012207
Great Falls International Airport,25,47.48199844,-111.3710022
Queenstown Airport,25,-31.9202003479,26.8822002411
Plymouth Municipal Airport,25,41.909,-70.728798
Kiunga Airport,25,-6.1257100105,141.2819976807
Flinders Island Airport,24,-40.0917015076,147.992996216
Flinders Island Airport,24,-33.730989,134.501
Sawan Airport,24,26.9662,68.878098
Lanzhou Zhongchuan Airport,24,36.5152015686,103.620002747
Mampikony Airport,23,-16.0722693402,47.6441645622
Del Caribe Santiago Mariño International Airport,23,10.9126033783,-63.9665985107
Puerto Rico Airport,23,-11.107663,-67.551155
Waterloo Airport,23,43.4608001709,-80.3786010742
Las Flores Airport,23,9.04554,-73.9749
Bol Airport,23,43.2857017517,16.6797008514
OR Tambo International Airport,23,-26.1392,28.246
Heho Airport,23,20.7469997406,96.7919998169
Douglas Municipal Airport,22,31.3425998688,-109.505996704
Douglas Municipal Airport,22,31.4766998291,-82.860496521
Charlottetown Airport,22,46.2900009155,-63.1211013794
Charlottetown Airport,22,52.7649993896,-56.1156005859
Horn Island Airport,22,-10.586400032,142.289993286
Rokot Airport,22,-2.0991199017,99.7006988525
Shah Mokhdum Airport,22,24.4372005463,88.6165008545
Bradshaw Army Airfield,21,19.760099411,-155.554000854
L.F. Wade International International Airport,21,32.3639984131,-64.6787033081
Moyale Airport,21,3.46972,39.101398
Lidköping-Hovby Airport,21,58.4655,13.1744
Nagasaki Airport,21,32.9169006348,129.914001465
Villa Garzón Airport,21,0.978767,-76.6056
Kuria Airport,21,0.218611002,173.4420013428
Aeroclube Airport,21,-22.745300293,-43.4603004456
Karamay Airport,21,45.46655,84.9527
Songyuan Chaganhu Airport,21,44.938114,124.550178
Hawke's Bay Airport,21,-39.465801,176.869995
Baudette International Airport,21,48.7284011841,-94.612197876
Madison Municipal Airport,21,33.6120986938,-83.4604034424
Santa Cruz Airport,21,-50.0165,-68.5792
Visby Airport,21,57.6627998352,18.346200943
Billings Logan International Airport,21,45.8077011108,-108.5429992676
